step,train_loss,train_accuracy,wall_clock_time_sec,val_accuracy,val_loss,val_ece,val_brier
1,0.7962530851364136,0.4375,0.04068398475646973,,,,
2,0.7748013138771057,0.40625,0.042740821838378906,,,,
3,0.7442727088928223,0.484375,0.043975830078125,,,,
4,0.7893779277801514,0.453125,0.04531502723693848,,,,
5,0.7747098207473755,0.4140625,0.047618865966796875,,,,
6,0.7733114361763,0.4140625,0.04923677444458008,,,,
7,0.7528202533721924,0.4140625,0.050820112228393555,,,,
8,0.7480376958847046,0.4765625,0.052813053131103516,,,,
9,0.7285565137863159,0.484375,0.05612778663635254,,,,
10,0.7756577730178833,0.40625,0.05780386924743652,0.47265625,0.7438827157020569,0.1457580327987671,0.5477654337882996
11,0.7363150119781494,0.4453125,0.06424069404602051,,,,
12,0.7422798275947571,0.484375,0.06558990478515625,,,,
13,0.7566694021224976,0.4609375,0.0671088695526123,,,,
14,0.6980785131454468,0.5390625,0.06845784187316895,,,,
15,0.7697180509567261,0.4296875,0.07007002830505371,,,,
16,0.7160650491714478,0.515625,0.07304906845092773,,,,
17,0.7196101546287537,0.484375,0.07552409172058105,,,,
18,0.7280251979827881,0.453125,0.07683181762695312,,,,
19,0.7160127758979797,0.5234375,0.08035778999328613,,,,
20,0.7140071988105774,0.484375,0.08382892608642578,0.515625,0.7164611220359802,0.06826206296682358,0.5215798020362854
21,0.6924967765808105,0.6015625,0.08806872367858887,,,,
22,0.7065941095352173,0.4765625,0.09094071388244629,,,,
23,0.717159628868103,0.453125,0.09307694435119629,,,,
24,0.7223844528198242,0.484375,0.09631466865539551,,,,
25,0.7048905491828918,0.5078125,0.0992879867553711,,,,
26,0.7127642631530762,0.53125,0.10246872901916504,,,,
27,0.6832687258720398,0.546875,0.10574889183044434,,,,
28,0.6834313869476318,0.515625,0.10920190811157227,,,,
29,0.6724880933761597,0.578125,0.11620593070983887,,,,
30,0.6921054720878601,0.5546875,0.12188982963562012,0.56640625,0.686180055141449,0.038309693336486816,0.4927982687950134
31,0.6696527600288391,0.5859375,0.1265110969543457,,,,
32,0.6928231716156006,0.5625,0.14255785942077637,,,,
33,0.6903011798858643,0.546875,0.148148775100708,,,,
34,0.6953083276748657,0.546875,0.15191388130187988,,,,
35,0.6613810658454895,0.6015625,0.1585988998413086,,,,
36,0.6830474138259888,0.546875,0.16238689422607422,,,,
37,0.6906225085258484,0.5390625,0.16997385025024414,,,,
38,0.6592265367507935,0.640625,0.1740117073059082,,,,
39,0.6888198852539062,0.59375,0.17661380767822266,,,,
40,0.6849290728569031,0.5625,0.18146300315856934,0.546875,0.6735403537750244,0.03352972865104675,0.48086345195770264
