step,train_loss,train_accuracy,wall_clock_time_sec,val_accuracy,val_loss,val_ece,val_brier,val_support_evidence_corr,val_conflict_corr
1,0.7089316844940186,0.046875,0.011931180953979492,,,,,,
2,0.6961216926574707,0.0546875,0.01761913299560547,,,,,,
3,0.6823284029960632,0.9296875,0.024157047271728516,,,,,,
4,0.6656290292739868,0.9375,0.0312800407409668,,,,,,
5,0.6459915637969971,0.9375,0.038236141204833984,,,,,,
6,0.6192657947540283,0.9609375,0.04543709754943848,,,,,,
7,0.5925071835517883,0.953125,0.052435874938964844,,,,,,
8,0.5632666945457458,0.9453125,0.059123992919921875,,,,,,
9,0.5193679332733154,0.96875,0.06583714485168457,,,,,,
10,0.48319345712661743,0.9609375,0.07353711128234863,0.94921875,0.4479004144668579,0.2893010973930359,0.2625442147254944,0.6608687043190002,0.22771494090557098
11,0.4254009425640106,0.984375,0.084136962890625,,,,,,
12,0.40295886993408203,0.953125,0.09206509590148926,,,,,,
13,0.3376351594924927,0.9765625,0.09784507751464844,,,,,,
14,0.29063287377357483,0.9765625,0.10440397262573242,,,,,,
15,0.2471425086259842,0.9765625,0.11090803146362305,,,,,,
16,0.2190999537706375,0.96875,0.11750388145446777,,,,,,
17,0.22945281863212585,0.9453125,0.12507200241088867,,,,,,
18,0.2803992033004761,0.9140625,0.13247895240783691,,,,,,
19,0.23937006294727325,0.9296875,0.1391000747680664,,,,,,
20,0.20113302767276764,0.9453125,0.14582014083862305,0.96484375,0.1447591483592987,0.002723097801208496,0.06666667759418488,0.7768075466156006,0.275022029876709
21,0.18047194182872772,0.953125,0.15557003021240234,,,,,,
22,0.1541704535484314,0.9609375,0.16265392303466797,,,,,,
23,0.13130727410316467,0.96875,0.17001914978027344,,,,,,
24,0.33377504348754883,0.9140625,0.17775416374206543,,,,,,
25,0.07508491724729538,0.984375,0.18593716621398926,,,,,,
26,0.16151782870292664,0.9609375,0.19618701934814453,,,,,,
27,0.23061245679855347,0.9453125,0.20543718338012695,,,,,,
28,0.07099388539791107,0.984375,0.21520209312438965,,,,,,
29,0.04359124228358269,0.9921875,0.22689604759216309,,,,,,
30,0.07695097476243973,0.984375,0.23785805702209473,0.9609375,0.1608501523733139,0.029412686824798584,0.07504458725452423,0.7948105335235596,0.36426228284835815
31,0.3343837559223175,0.9140625,0.24801301956176758,,,,,,
32,0.1824713945388794,0.953125,0.2578921318054199,,,,,,
33,0.12308235466480255,0.96875,0.2671201229095459,,,,,,
34,0.22582055628299713,0.9375,0.2758629322052002,,,,,,
35,0.1458992063999176,0.9609375,0.2839059829711914,,,,,,
36,0.15683282911777496,0.953125,0.29253292083740234,,,,,,
37,0.09935928881168365,0.96875,0.3019900321960449,,,,,,
38,0.11880601942539215,0.9609375,0.3101620674133301,,,,,,
39,0.22361107170581818,0.921875,0.31896209716796875,,,,,,
40,0.2359904795885086,0.8984375,0.3280508518218994,0.94921875,0.13217191398143768,0.043747611343860626,0.0766085833311081,0.7423749566078186,0.47989827394485474
