step,train_loss,train_accuracy,top1_accuracy,top5_accuracy,learning_rate,grad_norm,step_time_sec,wall_clock_time_sec,examples_per_sec,peak_memory_mb
1,1.6051830053329468,0.203125,0.203125,1.0,0.001,2.4069201946258545,0.046479225158691406,0.09524154663085938,1376.9592711902662,634.10888671875
2,1.5892843008041382,0.328125,0.328125,1.0,0.001,1.7365347146987915,0.038587331771850586,0.13837099075317383,1658.5754199954279,634.10888671875
3,1.6277438402175903,0.15625,0.15625,1.0,0.001,0.6153736710548401,0.03204917907714844,0.18312501907348633,1996.931024221865,634.10888671875
4,1.6088899374008179,0.265625,0.265625,1.0,0.001,0.4470650553703308,0.036986589431762695,0.22461271286010742,1730.3568937621267,634.10888671875
5,1.637966513633728,0.171875,0.171875,1.0,0.001,0.42866140604019165,0.027610301971435547,0.25992584228515625,2317.97537260591,634.10888671875
6,1.6267507076263428,0.1875,0.1875,1.0,0.001,0.3799299895763397,0.041612863540649414,0.311969518661499,1537.9859628617428,634.10888671875
7,1.6099408864974976,0.1875,0.1875,1.0,0.001,0.5678697824478149,0.027797460556030273,0.34752845764160156,2302.3685876268323,634.10888671875
8,1.6054898500442505,0.234375,0.234375,1.0,0.001,0.3250417113304138,0.0369417667388916,0.393383264541626,1732.456394204395,634.10888671875
9,1.606890082359314,0.171875,0.171875,1.0,0.001,0.4376576542854309,0.034032583236694336,0.43668365478515625,1880.5507520508886,634.10888671875
10,1.6080197095870972,0.21875,0.21875,1.0,0.001,0.3722136914730072,0.038877010345458984,0.4843740463256836,1646.2171198685162,634.10888671875
11,1.6007567644119263,0.1875,0.1875,1.0,0.001,0.8758395910263062,0.04076075553894043,0.5358138084411621,1570.1377257067318,634.10888671875
12,1.5949121713638306,0.21875,0.21875,1.0,0.001,1.762505054473877,0.04206967353820801,0.5877685546875,1521.2858721585917,634.10888671875
13,1.5795990228652954,0.234375,0.234375,1.0,0.001,3.590676784515381,0.04332542419433594,0.6401991844177246,1477.192692053709,634.10888671875
14,1.5877710580825806,0.28125,0.28125,1.0,0.001,1.44081711769104,0.04141855239868164,0.6898899078369141,1545.201275601248,634.10888671875
15,1.604369878768921,0.234375,0.234375,1.0,0.001,2.8589067459106445,0.04273247718811035,0.7414131164550781,1497.6899120139706,634.10888671875
16,1.6083203554153442,0.265625,0.265625,1.0,0.001,0.8685992956161499,0.0435640811920166,0.7935352325439453,1469.1001910015816,634.10888671875
17,1.6068015098571777,0.203125,0.203125,1.0,0.001,2.49472713470459,0.0428311824798584,0.8455851078033447,1494.2384565286368,634.10888671875
18,1.583420991897583,0.234375,0.234375,1.0,0.001,0.7515053153038025,0.03423428535461426,0.8915078639984131,1869.4708926171224,634.10888671875
19,1.598943829536438,0.265625,0.265625,1.0,0.001,0.6129189729690552,0.0272367000579834,0.927271842956543,2349.770708777213,634.10888671875
20,1.5955268144607544,0.203125,0.203125,1.0,0.001,0.7442762851715088,0.04079604148864746,0.9802734851837158,1568.7796576491282,634.10888671875
21,1.603063941001892,0.203125,0.203125,1.0,0.001,1.4780594110488892,0.026949405670166016,1.0159993171691895,2374.8204611001997,634.10888671875
22,1.557582139968872,0.40625,0.40625,1.0,0.001,4.7088093757629395,0.0319671630859375,1.0631141662597656,2002.054415274463,634.10888671875
23,1.5733734369277954,0.3125,0.3125,1.0,0.001,0.951012909412384,0.03968405723571777,1.1123340129852295,1612.7383251124982,634.10888671875
24,1.5511826276779175,0.3125,0.3125,1.0,0.001,1.3615955114364624,0.027115821838378906,1.148573875427246,2360.2456300777267,634.10888671875
25,1.5452449321746826,0.296875,0.296875,1.0,0.001,8.948539733886719,0.03499746322631836,1.1983716487884521,1828.7039716601948,634.10888671875
26,1.5540980100631714,0.25,0.25,1.0,0.001,3.2112905979156494,0.028171777725219727,1.2388877868652344,2271.7771176614956,634.10888671875
27,1.567330002784729,0.296875,0.296875,1.0,0.001,0.5976752638816833,0.027922868728637695,1.2788043022155762,2292.0281086434934,634.10888671875
28,1.541365146636963,0.375,0.375,1.0,0.001,1.0537503957748413,0.028096437454223633,1.3188128471374512,2277.86886164029,634.10888671875
29,1.584195852279663,0.296875,0.296875,1.0,0.001,1.3411788940429688,0.027913331985473633,1.3587520122528076,2292.8111926339075,634.10888671875
30,1.5685306787490845,0.28125,0.28125,1.0,0.001,1.7015153169631958,0.034967899322509766,1.4053843021392822,1830.2500647730217,634.10888671875
31,1.571287751197815,0.296875,0.296875,1.0,0.001,0.4871141314506531,0.029447317123413086,1.4494924545288086,2173.3728655747263,634.10888671875
32,1.5918647050857544,0.21875,0.21875,1.0,0.001,1.6897724866867065,0.02729630470275879,1.487290859222412,2344.639712112081,634.10888671875
33,1.5934386253356934,0.234375,0.234375,1.0,0.001,0.6093567609786987,0.027971267700195312,1.527064323425293,2288.0621888851006,634.10888671875
34,1.542555570602417,0.328125,0.328125,1.0,0.001,2.3940160274505615,0.03298830986022949,1.5716824531555176,1940.081206680977,634.10888671875
35,1.5589931011199951,0.3125,0.3125,1.0,0.001,1.9366772174835205,0.032846689224243164,1.6165571212768555,1948.4459929301947,634.10888671875
36,1.576124668121338,0.296875,0.296875,1.0,0.001,0.7379438877105713,0.026155948638916016,1.6521697044372559,2446.862122399869,634.10888671875
37,1.624388575553894,0.1875,0.1875,1.0,0.001,0.6407790184020996,0.03176259994506836,1.7008633613586426,2014.9484019155996,634.10888671875
38,1.573020100593567,0.28125,0.28125,1.0,0.001,1.5505505800247192,0.02893686294555664,1.7457263469696045,2211.7117574359395,634.10888671875
39,1.5674453973770142,0.3125,0.3125,1.0,0.001,2.0507261753082275,0.02650141716003418,1.7835514545440674,2414.9651927488644,634.10888671875
40,1.5574661493301392,0.28125,0.28125,1.0,0.001,1.2575894594192505,0.030259132385253906,1.8304312229156494,2115.063947807999,634.10888671875
41,1.601223111152649,0.21875,0.21875,1.0,0.001,2.0339596271514893,0.026944398880004883,1.8678572177886963,2375.2617486483855,634.10888671875
42,1.574352502822876,0.265625,0.265625,1.0,0.001,1.711775779724121,0.04300236701965332,1.9269134998321533,1488.2901671610346,634.10888671875
43,1.5947829484939575,0.1875,0.1875,1.0,0.001,0.901077389717102,0.02812027931213379,1.9694325923919678,2275.937564118869,634.10888671875
44,1.6006897687911987,0.234375,0.234375,1.0,0.001,1.9257405996322632,0.03309369087219238,2.0161635875701904,1933.9033608299412,634.10888671875
45,1.5751744508743286,0.265625,0.265625,1.0,0.001,0.5386613011360168,0.037621259689331055,2.088630199432373,1701.1657910580184,634.10888671875
46,1.6054118871688843,0.28125,0.28125,1.0,0.001,3.8790712356567383,0.032671451568603516,2.1356260776519775,1958.8967409547995,634.10888671875
47,1.5685365200042725,0.21875,0.21875,1.0,0.001,0.718736469745636,0.0462651252746582,2.297618865966797,1383.3313888173152,634.10888671875
48,1.5718011856079102,0.296875,0.296875,1.0,0.001,3.3876616954803467,0.03234744071960449,2.3403470516204834,1978.5181942141146,634.10888671875
49,1.5922528505325317,0.28125,0.28125,1.0,0.001,0.6459397673606873,0.03236508369445801,2.3874404430389404,1977.439657014048,634.10888671875
50,1.5890614986419678,0.265625,0.265625,1.0,0.001,0.836142897605896,0.03262448310852051,2.428870677947998,1961.716904053728,634.10888671875
51,1.602734088897705,0.21875,0.21875,1.0,0.001,1.7650268077850342,0.028214693069458008,2.473320960998535,2268.3216805671746,634.10888671875
52,1.6385481357574463,0.1875,0.1875,1.0,0.001,2.3318071365356445,0.04034018516540527,2.5275213718414307,1586.5073434240155,634.10888671875
53,1.5897338390350342,0.25,0.25,1.0,0.001,0.9285757541656494,0.03308510780334473,2.6187245845794678,1934.4050616492157,634.10888671875
